id, username, display_name, created_at, channel_type, country, uploads, subscribers, views, grade
UC3ZkCd7XtUREnjjt3cyY_gg, WorkpointOfficial, WorkpointOfficial, 2012-11-05, entertainmentThailand, 55241, 33500000, 30294647909, N/A
UCjIA3wwhi0QjSOXAZwOXbPA, jIA3wwhi0QjSOXAZwOXbPA, Ozuna, 2016-03-24, musicPuerto Rico, 127, 33200000, 18347501422, N/A
UCYLNGLIzMhRTi6ZOLjAPSmw, Shakira, Shakira, 2005-10-16, musicColombia, 252, 32900000, 20708198547, N/A
UCM9r1xn6s30OnlJWb-jc3Sw, M9r1xn6s30OnlJWb-jc3Sw, XXXTENTACION, 2015-06-23, musicUnited States, 112, 32300000, 8272824244, N/A
UCam8T03EOFBsNdR0thrFHdQ, vegetta777, VEGETTA777, 2008-03-02, gamesSpain, 6513, 32300000, 14017212662, N/A
UCHkj014U2CQ2Nv0UZeYpE_A, JustinBieberVEVO, JustinBieberVEVO, 2009-09-26, musicUnited States, 184, 32200000, 22921795938, N/A
UCWi_65E_L8tQZ34C6wVAlpQ, venus, Venus, 2005-09-22, musicIndia, 4459, 32200000, 13268277425, N/A
UCBR8-60-B28hp2BmDPdntcQ, youtube, YouTube, 1970-01-01, educationUnited States, 360, 31400000, 2322879466, N/A
UCoUM-UJ7rirJYP8CQ0EIaHA, elektrarecords, Bruno Mars, 2006-09-19, musicUnited States, 78, 31300000, 14435561837, N/A
UCgFXm4TI8htWmCyJ6cVPG_A, gFXm4TI8htWmCyJ6cVPG_A, Toys and Colors, 2016-03-17, entertainmentUnited States, 593, 31200000, 28987215983, N/A
UCQZfFRohQ7UX-0CdXl-6pwQ, QZfFRohQ7UX-0CdXl-6pwQ, Kimberly Loaiza, 2016-11-16, peopleMexico, 166, 31100000, 2866160194, N/A
UCsT0YIqwnpJCM-mx7-gSA4Q, TEDxTalks, TEDx Talks, 2009-06-23, nonprofitUnited States, 166732, 31100000, 5623153061, N/A
